"Időbélyeg","1. Mi a nemed?","2. Hány éves vagy?","3. Reggelizel iskolanapokon?","4. Naponta hányszor eszel zöldséget vagy gyümölcsöt?","5. Milyen gyakran fogyasztasz cukros üdítőt?","6. Hány pohár (kb. 2 dl) vizet iszol egy átlagos napon?","7. Milyen gyakran eszel gyorséttermi ételt vagy rendelt kaját?","8. Milyen gyakran mozogsz/sportolsz a testnevelési órán kívül?","9. Milyen mozgásformát űzől? (több válasz is megjelölhető)","10. Hány órát alszol egy átlagos iskolai éjszakán?","11. Naponta hány órát töltesz képernyő előtt szabadidődben (telefon, Pc, TV stb.)?","12. Milyen gyakran érzed magad fáradtnak napközben?","13. Fogyasztasz energiaitalt?","14. Egy 1-5-ös skálán mennyire tartod egészségesnek a saját életmódodat?","15. Honnan tájékozódsz egészséggel kapsolatos kérdésekben? (több válasz is megjelölhető)","16. Szeretnél változtatni életmódodon?"
"2026/08/28 3:11:12 du. GMT+3","Férfi","18-19","Mindig","4 vagy több alkalommal","Ritkán vagy soha","8 vagy több","havonta 1-2 alkalommal","Szinte naponta","Futás;konditerem, erősítés;kerékpározás","7-8 órát","2-4 órát","Ritkán","Soha","5","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Szakmai weboldalak, cikkek","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 3:18:16 du. GMT+3","Férfi","14-15","Mindig","2-3 alkalommal","Ritkán vagy soha","8 vagy több","Ritkán vagy soha","Szinte naponta","Más sport tevékenység ( itt nem felsorolt)","7-8 órát","2-4 órát","Hetente többször","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Család, barátok","Igen, és konkrét terveim is vannak"
"2026/08/28 3:21:33 du. GMT+3","Férfi","18-19","Gyakran","1 alkalommal","Naponta","8 vagy több","Hetente többször","Szinte soha","Nem sportolok","7-8 órát","4-6 órát","Szinte minden nap","Hetente","3","Iskolában tanároktól;Család, barátok","Igen, és konkrét terveim is vannak"
"2026/08/28 3:23:04 du. GMT+3","Férfi","18-19","Mindig","1 alkalommal","Ritkán vagy soha","8 vagy több","Hetente többször","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","7-8 órát","4-6 órát","Hetente többször","Soha","4","Orvos, szakember","Igen, és konkrét terveim is vannak"
"2026/08/28 3:25:32 du. GMT+3","Nő","18-19","Mindig","2-3 alkalommal","Ritkán vagy soha","5-7","havonta 1-2 alkalommal","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","7-8 órát","6 óránál többet","Hetente többször","havonta néhányszor","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Orvos, szakember","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 3:29:56 du. GMT+3","Férfi","14-15","Mindig","2-3 alkalommal","Naponta","5-7","havonta 1-2 alkalommal","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","6-7 órát","2-4 órát","Ritkán","havonta néhányszor","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Szakmai weboldalak, cikkek","Igen, de nem tudom, hol kezdjem"
"2026/08/28 3:38:24 du. GMT+3","Nő","16-17","Gyakran","1 alkalommal","Hetente egyszer","3-4","Hetente többször","Szinte naponta","Futás;konditerem, erősítés;kerékpározás","7-8 órát","4-6 órát","Hetente többször","havonta néhányszor","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Iskolában tanároktól;Család, barátok","Igen, de nem tudom, hol kezdjem"
"2026/08/28 3:40:41 du. GMT+3","Férfi","14-15","Mindig","2-3 alkalommal","Ritkán vagy soha","5-7","havonta 1-2 alkalommal","Szinte naponta","Más sport tevékenység ( itt nem felsorolt)","7-8 órát","2-4 órát","Ritkán","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.)","Igen, és konkrét terveim is vannak"
"2026/08/28 3:41:43 du. GMT+3","Férfi","16-17","Mindig","2-3 alkalommal","Hetente egyszer","3-4","Ritkán vagy soha","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","6-7 órát","4-6 órát","Hetente többször","Soha","4","Család, barátok;Orvos, szakember","Igen, de nem tudom, hol kezdjem"
"2026/08/28 4:06:24 du. GMT+3","Férfi","18-19","Ritkán","2-3 alkalommal","Naponta","8 vagy több","havonta 1-2 alkalommal","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","6-7 órát","2-4 órát","Szinte minden nap","Hetente","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Család, barátok","Nem, elégedett vagyok a jelenlegivel"
